model,county_group,n_counties,mean_auc,mean_f1,mean_disparity
unconstrained,observed,1312,0.6174101958310056,0.10272517945883233,0.7766666666666667
unconstrained,mice_imputed,1796,0.5874715378626545,0.436552755488571,0.7218307501188893
constrained,observed,1312,0.6016695556862701,0.016666666666666666,0.04
constrained,mice_imputed,1796,0.43335602107289384,0.0034782608695652175,0.00909090909090909
