class_weight,mean_auc,std_auc,mean_f1,std_f1,mean_tpr_disparity,mean_auc_observed,mean_auc_mice
None (uniform),0.5868436593298553,0.024016135094343596,0.0,0.0,0.0,0.6288049250912063,0.5863021942291156
balanced,0.5858539149470472,0.022785361129935483,0.3304725334412356,0.007745523088938079,0.6787243694764895,0.6174101958310056,0.5874715378626545
"{0:1,1:2}",0.586845983049666,0.02309349758469269,0.03604248652360163,0.020112244355482138,0.057540916875955236,0.6312045021613735,0.5864732290710584
"{0:1,1:3}",0.5853612863471845,0.023030482491119234,0.21678253787590576,0.06533353463067486,0.38997452337898214,0.6094748614440917,0.5860046783607042
