threshold,f1,disparity,precision,recall
0.01,0.11216730038022815,0.0,0.059415911379657606,1.0
0.014924623115577889,0.11800000000000002,0.0,0.06269925611052073,1.0
0.01984924623115578,0.12368972746331236,0.0,0.0659217877094972,1.0
0.024773869346733667,0.12854030501089325,0.0,0.06868451688009314,1.0
0.029698492462311557,0.13288288288288289,0.0,0.07117008443908324,1.0
0.03462311557788945,0.13641618497109825,0.0,0.07320099255583126,1.0
0.03954773869346734,0.14165666266506602,0.0,0.07622739018087855,1.0
0.04447236180904523,0.14496314496314497,0.0,0.0781456953642384,1.0
0.04939698492462312,0.1486146095717884,0.0,0.08027210884353742,1.0
0.05432160804020101,0.1530479896238651,0.0,0.08286516853932584,1.0
0.0592462311557789,0.15567282321899736,0.0,0.0844062947067239,1.0
0.06417085427135678,0.15902964959568733,0.0,0.08638360175695461,1.0
0.06909547738693467,0.16142270861833105,0.0,0.08779761904761904,1.0
0.07402010050251256,0.16503496503496504,0.0,0.0899390243902439,1.0
0.07894472361809045,0.16905444126074498,0.0,0.09233176838810642,1.0
0.08386934673366835,0.17251461988304093,0.0,0.0944,1.0
0.08879396984924623,0.17365269461077842,0.022727272727272707,0.09523809523809523,0.9830508474576272
0.09371859296482411,0.17602427921092564,0.022727272727272707,0.09666666666666666,0.9830508474576272
0.09864321608040201,0.17873651771956858,0.022727272727272707,0.09830508474576272,0.9830508474576272
0.1035678391959799,0.1815336463223787,0.022727272727272707,0.1,0.9830508474576272
0.10849246231155779,0.18210862619808305,0.045454545454545414,0.10052910052910052,0.9661016949152542
0.11341708542713567,0.1821138211382114,0.06818181818181823,0.10071942446043165,0.9491525423728814
0.11834170854271357,0.18604651162790695,0.06818181818181823,0.10313075506445672,0.9491525423728814
0.12326633165829146,0.19047619047619047,0.06818181818181823,0.10586011342155009,0.9491525423728814
0.12819095477386935,0.19410745233968807,0.06818181818181823,0.10810810810810811,0.9491525423728814
0.13311557788944725,0.19572953736654805,0.09090909090909094,0.10934393638170974,0.9322033898305084
0.13804020100502515,0.1996370235934664,0.09090909090909094,0.11178861788617886,0.9322033898305084
0.14296482412060302,0.20186915887850468,0.11363636363636365,0.1134453781512605,0.9152542372881356
0.14788944723618092,0.2041587901701323,0.11363636363636365,0.1148936170212766,0.9152542372881356
0.1528140703517588,0.20650095602294455,0.11363636363636365,0.11637931034482758,0.9152542372881356
0.1577386934673367,0.2101167315175097,0.11363636363636365,0.11868131868131868,0.9152542372881356
0.16266331658291458,0.21135029354207438,0.11363636363636365,0.11946902654867257,0.9152542372881356
0.16758793969849248,0.21600000000000003,0.11363636363636365,0.12244897959183673,0.9152542372881356
0.17251256281407037,0.21862348178137653,0.11363636363636365,0.12413793103448276,0.9152542372881356
0.17743718592964824,0.22222222222222227,0.11363636363636365,0.12646370023419204,0.9152542372881356
0.18236180904522614,0.22641509433962267,0.11363636363636365,0.1291866028708134,0.9152542372881356
0.18728643216080404,0.23027718550106613,0.11363636363636365,0.13170731707317074,0.9152542372881356
0.19221105527638194,0.2327586206896552,0.11363636363636365,0.13333333333333333,0.9152542372881356
0.1971356783919598,0.23632385120350108,0.11363636363636365,0.135678391959799,0.9152542372881356
0.2020603015075377,0.2350332594235033,0.13636363636363635,0.13520408163265307,0.8983050847457628
0.2069849246231156,0.23713646532438476,0.13636363636363635,0.13659793814432988,0.8983050847457628
0.21190954773869347,0.2398190045248869,0.13636363636363635,0.13838120104438642,0.8983050847457628
0.21683417085427137,0.24367816091954025,0.13636363636363635,0.14095744680851063,0.8983050847457628
0.22175879396984927,0.24537037037037038,0.13636363636363635,0.14209115281501342,0.8983050847457628
0.22668341708542716,0.2476635514018692,0.13636363636363635,0.14363143631436315,0.8983050847457628
0.23160804020100503,0.25178147268408546,0.13636363636363635,0.1464088397790055,0.8983050847457628
0.23653266331658293,0.2541966426858513,0.13636363636363635,0.14804469273743018,0.8983050847457628
0.24145728643216083,0.2591687041564792,0.13636363636363635,0.15142857142857144,0.8983050847457628
0.2463819095477387,0.26499999999999996,0.13636363636363635,0.15542521994134897,0.8983050847457628
0.2513065326633166,0.2676767676767677,0.13636363636363635,0.1572700296735905,0.8983050847457628
0.2562311557788945,0.2704081632653061,0.13636363636363635,0.15915915915915915,0.8983050847457628
0.2611557788944724,0.2739018087855297,0.13636363636363635,0.16158536585365854,0.8983050847457628
0.2660804020100503,0.2782152230971129,0.13636363636363635,0.16459627329192547,0.8983050847457628
0.2710050251256282,0.272,0.09242424242424241,0.16139240506329114,0.864406779661017
0.275929648241206,0.2749326145552561,0.09242424242424241,0.16346153846153846,0.864406779661017
0.2808542713567839,0.2802197802197802,0.09242424242424241,0.16721311475409836,0.864406779661017
0.2857788944723618,0.2841225626740947,0.09242424242424241,0.17,0.864406779661017
0.2907035175879397,0.28732394366197184,0.09242424242424241,0.17229729729729729,0.864406779661017
0.2956281407035176,0.2931034482758621,0.09242424242424241,0.17647058823529413,0.864406779661017
0.3005527638190955,0.29239766081871343,0.11515151515151512,0.17667844522968199,0.847457627118644
0.3054773869346734,0.2994011976047904,0.11515151515151512,0.18181818181818182,0.847457627118644
0.31040201005025125,0.303951367781155,0.11515151515151512,0.18518518518518517,0.847457627118644
0.31532663316582915,0.3058103975535168,0.11515151515151512,0.1865671641791045,0.847457627118644
0.32025125628140705,0.3072100313479624,0.13787878787878793,0.18846153846153846,0.8305084745762712
0.32517587939698495,0.31309904153354623,0.13787878787878793,0.19291338582677164,0.8305084745762712
0.33010050251256284,0.31818181818181823,0.13787878787878793,0.19678714859437751,0.8305084745762712
0.33502512562814074,0.32131147540983607,0.13787878787878793,0.1991869918699187,0.8305084745762712
0.33994974874371864,0.32996632996633,0.13787878787878793,0.20588235294117646,0.8305084745762712
0.3448743718592965,0.3333333333333333,0.13787878787878793,0.20851063829787234,0.8305084745762712
0.3497989949748744,0.3310344827586207,0.16060606060606064,0.2077922077922078,0.8135593220338984
0.3547236180904523,0.3380281690140845,0.16060606060606064,0.21333333333333335,0.8135593220338984
0.3596482412060302,0.3416370106761566,0.16060606060606064,0.21621621621621623,0.8135593220338984
0.36457286432160807,0.34532374100719426,0.16060606060606064,0.2191780821917808,0.8135593220338984
0.36949748743718597,0.3516483516483516,0.16060606060606064,0.22429906542056074,0.8135593220338984
0.37442211055276386,0.3542435424354244,0.16060606060606064,0.22641509433962265,0.8135593220338984
0.3793467336683417,0.3533834586466166,0.18333333333333335,0.22705314009661837,0.7966101694915254
0.3842713567839196,0.3615384615384615,0.18333333333333335,0.23383084577114427,0.7966101694915254
0.3891959798994975,0.36434108527131787,0.18333333333333335,0.23618090452261306,0.7966101694915254
