class_weight,mean_auc,std_auc,mean_f1,std_f1,mean_tpr_disparity
None (uniform),0.9003958710612097,0.02230169647076717,0.36550179211469536,0.07191364055194614,0.14555555555555552
balanced,0.8944979113847641,0.02442575793918233,0.299116300836672,0.03498142662082862,0.2238888888888889
