threshold,f1,disparity,precision,recall
0.01,0.15344603381014302,0.0,0.08309859154929577,1.0
0.014924623115577889,0.16155988857938722,0.022727272727272707,0.08801213960546282,0.9830508474576272
0.01984924623115578,0.1695906432748538,0.022727272727272707,0.0928,0.9830508474576272
0.024773869346733667,0.17457886676875958,0.043939393939393945,0.09595959595959595,0.9661016949152542
0.029698492462311557,0.18357487922705315,0.043939393939393945,0.10142348754448399,0.9661016949152542
0.03462311557788945,0.1893687707641196,0.043939393939393945,0.10497237569060773,0.9661016949152542
0.03954773869346734,0.1896551724137931,0.0015151515151515804,0.10556621880998081,0.9322033898305084
0.04447236180904523,0.19251336898395724,0.024242424242424288,0.10756972111553785,0.9152542372881356
0.04939698492462312,0.19521178637200734,0.046969696969696995,0.10950413223140495,0.8983050847457628
0.05432160804020101,0.20229007633587787,0.046969696969696995,0.11397849462365592,0.8983050847457628
0.0592462311557789,0.20866141732283466,0.046969696969696995,0.11804008908685969,0.8983050847457628
0.06417085427135678,0.2113821138211382,0.0696969696969697,0.12009237875288684,0.8813559322033898
0.06909547738693467,0.2144329896907216,0.0696969696969697,0.12206572769953052,0.8813559322033898
0.07402010050251256,0.21894736842105267,0.0696969696969697,0.125,0.8813559322033898
0.07894472361809045,0.22807017543859648,0.0696969696969697,0.1309823677581864,0.8813559322033898
0.08386934673366835,0.2297297297297297,0.09242424242424241,0.13246753246753246,0.864406779661017
0.08879396984924623,0.22988505747126436,0.11515151515151512,0.13297872340425532,0.847457627118644
0.09371859296482411,0.23058823529411765,0.13787878787878793,0.13387978142076504,0.8305084745762712
0.09864321608040201,0.23333333333333334,0.13787878787878793,0.13573407202216067,0.8305084745762712
0.1035678391959799,0.23960880195599024,0.13787878787878793,0.14,0.8305084745762712
0.10849246231155779,0.24257425742574257,0.13787878787878793,0.14202898550724638,0.8305084745762712
0.11341708542713567,0.24242424242424243,0.07121212121212128,0.142433234421365,0.8135593220338984
0.11834170854271357,0.2448979591836735,0.07121212121212128,0.14414414414414414,0.8135593220338984
0.12326633165829146,0.2455242966751918,0.07121212121212128,0.14457831325301204,0.8135593220338984
0.12819095477386935,0.2513089005235602,0.07121212121212128,0.14860681114551083,0.8135593220338984
0.13311557788944725,0.25531914893617025,0.07121212121212128,0.15141955835962145,0.8135593220338984
0.13804020100502515,0.2601626016260163,0.07121212121212128,0.15483870967741936,0.8135593220338984
0.14296482412060302,0.26373626373626374,0.07121212121212128,0.15737704918032788,0.8135593220338984
0.14788944723618092,0.260387811634349,0.09393939393939399,0.15562913907284767,0.7966101694915254
0.1528140703517588,0.2633053221288515,0.09393939393939399,0.15771812080536912,0.7966101694915254
0.1577386934673367,0.26704545454545453,0.09393939393939399,0.16040955631399317,0.7966101694915254
0.16266331658291458,0.27011494252873564,0.09393939393939399,0.16262975778546712,0.7966101694915254
0.16758793969849248,0.2740524781341108,0.09393939393939399,0.16549295774647887,0.7966101694915254
0.17251256281407037,0.2789317507418398,0.09393939393939399,0.16906474820143885,0.7966101694915254
0.17743718592964824,0.2857142857142857,0.09393939393939399,0.17407407407407408,0.7966101694915254
0.18236180904522614,0.2839506172839506,0.1166666666666667,0.17358490566037735,0.7796610169491526
0.18728643216080404,0.2911392405063291,0.1166666666666667,0.17898832684824903,0.7796610169491526
0.19221105527638194,0.29392971246006394,0.1166666666666667,0.18110236220472442,0.7796610169491526
0.1971356783919598,0.2948717948717949,0.1166666666666667,0.18181818181818182,0.7796610169491526
0.2020603015075377,0.2987012987012987,0.1166666666666667,0.18473895582329317,0.7796610169491526
0.2069849246231156,0.30564784053156147,0.1166666666666667,0.19008264462809918,0.7796610169491526
0.21190954773869347,0.30303030303030304,0.1393939393939394,0.18907563025210083,0.7627118644067796
0.21683417085427137,0.30405405405405406,0.1393939393939394,0.189873417721519,0.7627118644067796
0.22175879396984927,0.30716723549488056,0.1393939393939394,0.19230769230769232,0.7627118644067796
0.22668341708542716,0.31358885017421606,0.1393939393939394,0.19736842105263158,0.7627118644067796
0.23160804020100503,0.30985915492957744,0.1621212121212121,0.19555555555555557,0.7457627118644068
0.23653266331658293,0.3142857142857143,0.1621212121212121,0.19909502262443438,0.7457627118644068
0.24145728643216083,0.32,0.1621212121212121,0.2037037037037037,0.7457627118644068
0.2463819095477387,0.32592592592592595,0.1621212121212121,0.20853080568720378,0.7457627118644068
0.2513065326633166,0.32835820895522383,0.1621212121212121,0.21052631578947367,0.7457627118644068
0.2562311557788945,0.3320754716981132,0.1621212121212121,0.21359223300970873,0.7457627118644068
0.2611557788944724,0.32307692307692304,0.20757575757575764,0.208955223880597,0.711864406779661
0.2660804020100503,0.3255813953488372,0.20757575757575764,0.21105527638190955,0.711864406779661
0.2710050251256282,0.32684824902723736,0.20757575757575764,0.21212121212121213,0.711864406779661
0.275929648241206,0.33070866141732286,0.20757575757575764,0.2153846153846154,0.711864406779661
0.2808542713567839,0.3387096774193548,0.20757575757575764,0.2222222222222222,0.711864406779661
0.2857788944723618,0.34285714285714286,0.20757575757575764,0.22580645161290322,0.711864406779661
0.2907035175879397,0.35000000000000003,0.20757575757575764,0.23204419889502761,0.711864406779661
0.2956281407035176,0.3559322033898305,0.20757575757575764,0.23728813559322035,0.711864406779661
0.3005527638190955,0.3605150214592275,0.20757575757575764,0.2413793103448276,0.711864406779661
0.3054773869346734,0.36363636363636365,0.20757575757575764,0.2441860465116279,0.711864406779661
0.31040201005025125,0.37168141592920356,0.20757575757575764,0.25149700598802394,0.711864406779661
0.31532663316582915,0.36771300448430494,0.23030303030303034,0.25,0.6949152542372882
