k_neighbors,mean_auc,std_auc,mean_f1,std_f1,mean_tpr_disparity
3,0.8994667873958712,0.020119695360834928,0.3710398098633393,0.0561358869020135,0.21222222222222217
5,0.9003958710612097,0.02230169647076717,0.36550179211469536,0.07191364055194614,0.14555555555555552
7,0.8955744537003503,0.018862456253507444,0.3706905460131266,0.07673314452695765,0.14555555555555552
10,0.8949542436315345,0.024360651154583066,0.3769884442805336,0.07762545822141814,0.2344444444444444
