county_fips,NAMELSAD_COUNTY_20,PR_HRI,F_HRI,LOW_EMS,P_NEHD,PR_NEHD,HHB_SCORE,HHB_RANK,P_CHD,PR_CHD,F_CHD,P_OBS,PR_OBS,F_OBS,P_DIABETES,PR_DIABETES,F_DIABETES,P_COPD,PR_COPD,F_COPD,P_ASTHMA,PR_ASTHMA,F_ASTHMA,P_MNTHL,PR_MNTHL,F_MNTHL,F_SEN_COUNT,SEN_SCORE,SEN_RANK,P_UNINSUR,PR_UNINSUR,P_POV,PR_POV,P_UNEMP,PR_UNEMP,P_NOHSDP,PR_NOHSDP,P_ISO,PR_ISO,P_ELP,PR_ELP,P_DISABL,PR_DISABL,P_ODW,PR_ODW,P_AGE65,PR_AGE65,P_AGE5,PR_AGE5,SOCIODEM_SCORE,SOCIODEM_RANK,P_IMPERV,PR_IMPERV,P_TREEC,PR_TREEC,P_NOVEH,PR_NOVEH,P_MOBILE,PR_MOBILE,P_RENT,PR_RENT,P_OZONE,PR_OZONE,P_PM25,PR_PM25,NBE_SCORE,NBE_RANK,OVERALL_SCORE,OVERALL_RANK,county_pop_from_zctas,n_zctas_in_county,poverty_quartile,Notes,County,County Code,Deaths,Population,Crude Rate,Deaths_adjusted,suppression_flag,Crude Rate_adjusted,label
01001,Autauga County,64.36580362131087,0.7564528106450632,0.0,-18.438789291644824,-26.215642080483505,0.4795368703863924,0.3720702189827016,5.9787371248697685,0.3535824562345266,0.09691815531099532,40.101390776134906,0.7324623971434392,0.6542396370286933,11.805587296830168,0.5213390773673805,0.13853946534468925,7.64704503397851,0.46116056194739025,0.12443158335711779,10.566058317918667,0.5341834973585577,0.11309797524538408,18.60279329950038,0.7901670736805048,0.7588998941899755,1.886126710476855,0.3143422068572578,0.4354254430917467,8.05717311838152,0.5636471618515958,25.71581444004512,0.6070978298606872,4.810574500997006,0.5007225479190526,13.062993580905433,0.6153076893683976,13.2694472622877,0.4674446375444773,0.7162587085861676,0.5492711974485798,19.278736989565644,0.7443656542789656,8.517930962672782,0.3564044915794131,15.18190204092517,0.3270945235024156,5.6091142217482695,0.5289753778934031,0.5260524983659587,0.5798320837694091,4.964467951094813,0.5232814580973374,48.63413992435049,0.25727748668342776,5.436760343571861,0.522520689967542,19.76815524245084,0.7084385054080421,28.793977827830638,0.5889251929671817,0.2750580922893904,0.3779298188056228,0.0,0.0,0.42548991135979075,0.4608699046649331,0.46203057505691597,0.4868798686988589,56222.81543918335,10,3,,"Autauga County, AL",01001,Suppressed,1143294.0,Suppressed,7.0,1.0,6.1226596133627925e-06,1.0
01003,Baldwin County,75.84215098266438,0.29727893194829635,0.002447526037941205,-29.605981524422177,-38.98308705898415,0.5958704259638475,0.5669136497772111,6.719080759673135,0.49565356614500067,0.1227152912264185,37.99787472441216,0.603472249638131,0.3425074830609767,11.781472505884484,0.5650000229018952,0.3803571135010496,7.7313560141410305,0.47742833514321936,0.19928369826740838,9.879340838572451,0.3341684945869027,0.026972426249596566,16.54608550911647,0.5456001015228978,0.3549953048012279,1.426831317106678,0.23780555350528743,0.31116549578296987,9.079882820738856,0.5963655627220568,19.122044707680423,0.4360573521860465,4.3742684009301085,0.487446901292111,9.658717922993137,0.4443443064052686,14.79945590596632,0.5448995721356138,0.6840632043319919,0.5442920899507181,14.51406528822784,0.48943608324163346,9.647135203073992,0.39668706539963816,20.042680809437204,0.5708530322219635,5.448619140768976,0.5135291237788423,0.5023763729202,0.5273449376918504,5.5872089261241555,0.5864334092319309,41.69362658094812,0.32800824043201465,3.439406379694943,0.41011772696832877,13.176537334862372,0.5863373152711934,24.465450480277646,0.5177134259907805,0.19249520341070012,0.2177272089268366,0.0,0.0,0.37805828176435813,0.33614518570198737,0.43539435098676843,0.438444155964409,183859.12673620757,23,2,,"Baldwin County, AL",01003,Suppressed,3987384.0,Suppressed,9.0,1.0,2.2571189531783246e-06,0.0
01005,Barbour County,56.78009064095136,0.7220636600166283,0.0017597312615647987,9.767859156163862,0.270125241952272,0.49604696406696236,0.39083640166391537,8.424020162306519,0.8183637611177338,0.8719320338278622,43.953987747939166,0.9231921149838916,0.9957489366458084,17.37644345905128,0.9470858613784212,1.0,11.154611867081762,0.890325125560366,1.0,11.666545821143654,0.836591212621498,0.8294409094601506,20.652139872914244,0.9330312715694203,1.0,5.697121879933821,0.9495234492879207,0.8878091815136514,11.448351231043846,0.7366027423242598,44.02352776384955,0.9156150974367525,8.957200410243749,0.8237874316418289,26.51926665702101,0.9093662160514537,17.61967618757444,0.7325679355536092,1.9070096571998558,0.7430076000712125,21.752842675292754,0.8403562649655392,14.381915017044859,0.6348913511892291,18.45672088863798,0.5214147892258186,5.5071503441653284,0.4898939898312366,0.7347397111301303,0.9742078260616532,1.0563822511674852,0.30215785414041635,59.16155317088759,0.15687626619373296,10.1209379120535,0.8408558840532634,31.021474250861843,0.8981165332589518,38.36229395499007,0.7936188135237072,0.0,0.0,0.0,0.0,0.4273739249409852,0.46386997792333784,0.6791921650946116,0.8476372705789669,25908.1181592299,9,4,,"Barbour County, AL",01005,0,599031.0,Unreliable,0.0,0.0,0.0,0.0
01007,Bibb County,72.72506221683756,0.8399753396997505,0.0041307269724987035,-216.19170511740856,-221.10007005815552,0.5592803905847218,0.497765571267813,6.77504348187185,0.5217343792169002,0.27040460866686283,39.78498473200141,0.7205902059992906,0.5358416151250079,12.705237669472096,0.6891421987664752,0.7464980130796997,9.056661218664676,0.679210057378477,0.6219428690570572,10.558706685229,0.5658635448869546,0.074449479563834,19.575863154621615,0.8745816773499875,1.0,3.249136585492461,0.5415341372813355,0.6699693239778269,11.606990256532724,0.6690712951683501,29.010266684616283,0.6767371589148916,7.079094298168965,0.5886748006168533,20.16429605640036,0.7613668839776161,12.085946172372337,0.40607816196837593,0.420960125290189,0.3170647879643517,17.608161772817652,0.6795204915841425,15.593854581087669,0.6779217992197104,16.953443956171363,0.4382817107433741,5.1372136720994295,0.44030958722251823,0.5655117275883466,0.6830145529215974,1.4281092346908373,0.3224111325690483,70.848799108598,0.06439993524872789,6.7078255125658055,0.5955293339595824,31.649569217537803,0.8802911874810077,25.107249893300704,0.536745756685556,0.41936879128317767,0.5284805906188534,0.0,0.0,0.4182602429963382,0.4456505159850481,0.5741086943366654,0.6832487635216283,22514.196803412473,11,3,,"Bibb County, AL",01007,0,487078.0,Unreliable,0.0,0.0,0.0,0.0
01009,Blount County,59.49522149569623,-1.3350813724402097,-2.0472572657815915,-57.88712376528773,-61.46918152554114,-1.6391176895577229,-1.7910435767952013,7.291255999693815,0.6353835724867678,0.4754206989141392,38.304482240089264,0.6367434980219285,0.37691502826139867,12.209568218823183,0.6347875939000159,0.6472862885854545,9.293921622354663,0.712916406408736,0.7288235404884648,10.386449475690503,0.5025395623121479,0.0629167036376534,18.892295672140992,0.8279930890831271,0.9715778184616347,3.2629400783487448,0.5438440940817741,0.6509123711169017,10.445562480553923,0.6738857155155807,25.751356219289555,0.6234499533229184,1.6064421287397601,-1.6524725388472805,19.533596997371877,0.7860518820297162,12.321933307590614,0.4143007109811068,1.8263100529900786,0.6273685005285997,14.866230971228827,0.530099181830022,12.935728915931113,-1.3601356451998632,17.87955537437478,0.4964545390871454,5.792673489600243,0.5626013666931444,0.5798732759072841,0.7029222323414699,1.8864489843136638,0.46240426062539675,52.008042081487545,0.22628094897155754,4.361005540885429,0.5035505019087276,23.936483621358096,0.814256989130684,21.60966113123396,0.4475619176273247,0.3129437616677396,0.2955374902202088,0.004111618749271978,0.0075143944261694745,0.393883080600885,0.3736175532065388,0.4962310917614437,0.5526370037510455,60508.27224819118,17,3,,"Blount County, AL",01009,Suppressed,1229334.0,Suppressed,2.0,1.0,1.6268971654570685e-06,0.0
01011,Bullock County,59.28705971264782,0.7360906684598149,0.0,9.06161974680689,0.23257893689697456,0.4843309999297138,0.372623751728854,7.501500336361754,0.6637540577252874,0.744413731209662,45.93881851265898,0.914451525712017,0.9938344259329196,17.445210691055678,0.9095765424358457,1.0,9.350952312427625,0.7074884560064417,0.744413731209662,11.586764372536265,0.8354869637123138,0.9347073098066981,20.05056713324189,0.8925258523628754,0.938965578158166,5.356334776317107,0.8927271823963477,0.8595501191317305,10.87761905334787,0.7179921271821539,38.8065209539919,0.8521657643036055,4.806461082722612,0.5509320852427861,23.18424049238871,0.8656616238841853,13.871176408430108,0.4626706128235804,0.8822447474806734,0.5182877853543574,12.28255407349513,0.36315428481497625,10.315749240295169,0.44789522282176825,15.445731091667671,0.3429735922802687,5.241178599290717,0.3843777567868446,0.5506350888203841,0.6392964245287973,0.7598633144745304,0.2054495258042771,63.74053328986584,0.11537871897134792,10.665574431317115,0.8430435968125326,29.59386027538591,0.8750674110955265,33.072343256368654,0.677344397815011,0.0,0.0,0.0,0.0,0.38806183437552577,0.3625955028627733,0.5585200648698286,0.6683992449238627,11548.227658746253,7,4,,"Bullock County, AL",01011,Suppressed,238108.0,Suppressed,1.0,1.0,4.199774892065786e-06,1.0
01013,Butler County,67.91737645869028,0.8578882709774073,0.02898453756721318,9.579872843902105,0.2618869598385652,0.5599210643903535,0.525130683426778,8.17116691725666,0.7729005287749651,0.9950225144924197,42.20577475179974,0.8772817040188867,0.963984893734499,16.73715642686587,0.9342074156120782,1.0,10.12154593498409,0.8049628712907669,1.0,11.387377652706942,0.8136966531336203,0.9480775702392638,19.401748831297006,0.8734175352978244,1.0,5.907084978466184,0.9845146674209392,0.9034088942614877,8.718464822442714,0.6257325551720203,35.599207507597576,0.8261504575867663,6.899773323418196,0.7383441244264056,15.579220996915682,0.7173258339611893,14.024387886551525,0.5278924180453484,0.16256410159285317,0.3869409388899363,16.665959868563142,0.6270661448295101,10.221860744197402,0.4265926122837773,19.513962574494126,0.5892156307827229,6.219973766191282,0.6403513924831761,0.6105348215820645,0.7862545695244333,0.6906440618665216,0.19248646423730828,66.73636454736943,0.09038550127754907,7.34842583110503,0.730906209502335,26.337299155825185,0.8561419894082954,30.171120745805812,0.6622827616862608,0.0,0.0,0.0,0.0,0.36170789721639446,0.29389169339341464,0.6271387715942911,0.7730032582349816,20452.32370806583,8,4,,"Butler County, AL",01013,0,452078.0,Unreliable,0.0,0.0,0.0,0.0
01015,Calhoun County,54.78090955528451,0.6325066829376885,0.05430757958568115,3.9759280297197117,0.049265797264930244,0.3409026358584833,0.16642219583382456,6.958816640467703,0.552743274057115,0.22660074906937405,38.6962890396936,0.6258736997631904,0.2487213694271472,13.04155207581298,0.6499360369385404,0.5206847101219328,9.00687758841913,0.6396370198661269,0.2945950502469026,10.872049161466137,0.6291997061835742,0.3894391342532541,19.11592751945088,0.8075274617058935,0.7439263935033029,2.4239674066219137,0.4039918972989164,0.5209063795566726,9.529465874828432,0.6516954469277375,28.601751854382833,0.661909999265167,8.303522394948692,0.7441133293232037,15.445598579279952,0.6579181328498539,14.490663587377785,0.5423968212432132,0.7798821091492302,0.4983836642005743,21.0188479927277,0.7545602230623454,10.06212772380978,0.42524033219742974,17.16773932434217,0.45274578922754155,5.7777729703538485,0.5479043394743193,0.5936855889254277,0.7245764754075442,6.098788931909378,0.6285681567942688,48.96606266006043,0.253436792915202,5.943932661436475,0.5604043697457834,15.235978360781335,0.6643136884377212,29.965912389051955,0.628543043351595,0.0,0.0,0.0,0.0,0.3907440218381588,0.36906971518180537,0.4452580689217639,0.4599661182158777,111494.56569772212,14,3,,"Calhoun County, AL",01015,Suppressed,2530557.0,Suppressed,2.0,1.0,7.903398342736402e-07,0.0
01017,Chambers County,65.84765834586996,0.8120312020928214,0.0,3.921081824292237,0.04799311420079576,0.430010457802927,0.27925486987101067,7.569497839804507,0.6819257007394693,0.5265794488862008,43.679343293998464,0.9153224281280387,0.9734975744948007,15.232886939469344,0.8597091397647527,0.9734975744948007,9.310260434910743,0.7131083746457617,0.8472417329375445,11.027111499355339,0.7158903444461779,0.7023832583969899,18.545494103590787,0.8029685521837563,0.9734975744948007,4.996697163705137,0.8327944546905128,0.8231770287879976,10.290731448674643,0.6915641879293674,29.525944256063653,0.7184043832403785,4.231941937902478,0.4715422773752494,17.463786987738462,0.7515845518168227,16.083254054647917,0.6511192196042811,0.5990281687112441,0.42773512809479675,18.148621657648782,0.6962049252547594,10.912539748285381,0.46143546886431686,18.647828908997976,0.5365609752761643,5.8769855777532465,0.57862959688444,0.5984796439513325,0.7466412901558439,3.1351228856723745,0.50156014600994,57.62585916719248,0.17073583018485675,7.830970757094402,0.7212316071328351,15.144827924377207,0.666257990705102,31.28071815430057,0.6844008086362942,0.0,0.0,0.0,0.0,0.3920358278529356,0.3762583605117063,0.5563387698184523,0.6712677767496834,38532.83669221069,10,4,,"Chambers County, AL",01017,Suppressed,762379.0,Suppressed,5.0,1.0,6.558417794823834e-06,1.0
01019,Cherokee County,77.20032496571902,0.9287695376142177,0.0,4.779058090486166,0.09416805756555334,0.5114619949186324,0.41273520238710226,8.27541641641049,0.8056935996072121,0.8236211890068511,39.28564024798676,0.7077520564193801,0.5614946336991016,14.084288422461787,0.8163058723660896,0.8730644365254174,10.610341320884709,0.8486423715177691,0.987991901232979,10.685291146152153,0.6050977446692362,0.23839962334711753,19.020190469541998,0.8354012114853646,1.0,4.484571783811466,0.7474231677078783,0.7894600196198894,9.179412019553595,0.6245535503294809,30.190614538959018,0.7286244941816881,5.039273761634175,0.568602331807177,18.336645751838976,0.7745531150293369,15.421505266710382,0.6115175972470613,0.7144082315284042,0.40665135785221995,18.677682893460204,0.7120751734230402,12.418464457650044,0.5560237344273715,22.368382740779307,0.681849203926371,4.531549074367895,0.3712284070791117,0.6035407152125873,0.7642160974680189,2.0542688524540917,0.43729864969984344,44.84841486996657,0.29533321058856876,5.061749237670618,0.563199900476741,23.1993337232394,0.8003518739207793,24.245526634486787,0.5147136321746026,0.0,0.0,0.0,0.0,0.3729938150664016,0.33291833299199214,0.5748314466074304,0.6982838187067605,32374.76773582894,11,4,,"Cherokee County, AL",01019,Suppressed,559466.0,Suppressed,1.0,1.0,1.7874187171338383e-06,0.0
