model,county_group,n_counties,mean_auc,mean_f1,mean_disparity
unconstrained,observed,1312,0.6734973088250155,0.14996369886596425,0.41761904761904767
unconstrained,mice_imputed,1796,0.5753248464583018,0.5005971114119949,0.7650162326914132
constrained,observed,1312,0.6918420732865077,0.1351225362755905,0.3814285714285715
constrained,mice_imputed,1796,0.520096392431962,0.4787695726545735,0.18308672608800639
